CODIGO_PROYECTO,N,SUBDIRECCION,PROGRAMA_CONICYT,INSTRUMENTO,NOMBRE_CONCURSO,AÑO_CONCURSO,AÑO_FALLO,NOMBRE_PROYECTO,AREA_OCDE,DISCIPLINA_DETALLE,GRUPO_DE_EVALUACION,DURACION_MESES,TIPO_BENEFICIARIO,NOMBRE_RESPONSABLE,SEXO,INSTITUCION_PRINCIPAL,MACROZONA MINCIENCIA (segUn ax),REGION_EJECUCION,MONTO ADJUDICADO (MILES $),M$_SINFO_NOSOLICITA
11190065,33861,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,SCALE EFFECT ON ROCK MASSES: DEEPENING OUR KNOWLEDGE ON THE ROLE OF BOTH INTACT ROCK AND DISCONTINUITIES,INGENIERIA Y TECNOLOGIA,INGENIERIA 1,INGENIERIA 1,36,PERSONA NATURAL,JAVIER ARZUA TOURIÃ‘O,HOMBRE,UNIV.CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,101576,
11190104,33869,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,"NEW APPROACHES TO THE FUTURE-BASED DECISION MAKING BASED ON ""PROSPECTIVE MULTIPLE ATTRIBUTE DECISION MAKING (PMADM)"" OUTLINE",INGENIERIA Y TECNOLOGIA,INGENIERIA 2,INGENIERIA 2,36,PERSONA NATURAL,SARFARAZ HASHEMKHANIZOLFANI,HOMBRE,UNIV.CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,28798,
11190112,33870,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,LOCATION AND SORTING OF GROWTH-ORIENTED ENTREPRENEURSHIP IN CHILE,CIENCIAS SOCIALES,CS. ECONOM/ADMI,CS. ECONOM/ADMI,36,PERSONA NATURAL,FELIX ANTONIO MODREGO BENITO,HOMBRE,UNIV.CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,66360,
11190145,33884,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,"RATIONAL DESIGN, SYNTHESIS, BIOLOGICAL EVALUATION AND STRUCTURE-ACTIVITY RELATIONSHIP STUDY OF NOVEL BENZO[D]IMIDAZOLES AND BENZO[B]THIOPHENES AS AGONISTS OF THE CANNABINOID TYPE 1 AND 2 RECEPTORS.",CIENCIAS NATURALES,QUIMICA 1,QUIMICA 1,36,PERSONA NATURAL,JAVIER HERNAN ROMERO PARRA,HOMBRE,UNIV.CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,74123,
11190184,33896,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,NANOCYLINDRICAL MAGNONIC WAVEGUIDES AND MAGNONIC CRYSTALS.,CIENCIAS NATURALES,FISICA TEORICA Y EXP,FISICA TEORICA Y EXP,36,PERSONA NATURAL,JORGE AUGUSTO OTALORA ARIAS,HOMBRE,UNIV.CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,79060,
11190190,33898,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,AUTOMATIZED SYSTEM OF DETECTION AND CLASSIFICATION OF SEISMIC SIGNALS FOR NORTHERN CHILE VOLCANOES,CIENCIAS NATURALES,CS. DE LA TIERRA,CS. DE LA TIERRA,36,PERSONA NATURAL,PABLO EUGENIO SALAZAR REINOSO,HOMBRE,UNIV.CATOLICA DEL NORTE,NORTE,02. ANTOFAGASTA,66838,
11190289,33932,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,PERFORMANCE ANALYSIS OF PHOTOVOLTAIC MATERIALS AND DEVICES EXPOSED TO ULTRAVIOLET LIGHT OF ATACAMA DESERT,INGENIERIA Y TECNOLOGIA,INGENIERIA 1,INGENIERIA 1,36,PERSONA NATURAL,PABLO DANIEL FERRADA MARTINEZ,HOMBRE,UNIV.DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,98117,
11190353,33956,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,"PESQUERAS, TRIPULANTES Y CULTURA: EL PROCESO DE REESTRUCTURACION DE LA PESCA INDUSTRIAL BAJO EL MODELO NEOLIBERAL DEL NORTE GRANDE DE CHILE (1978-1990).",CIENCIAS SOCIALES,ANTROP. Y ARQUE,ANTROP. Y ARQUE,36,PERSONA NATURAL,CLAUDIO ROBERTO AGUIRRE MUNIZAGA,HOMBRE,UNIV.DE TARAPACA,NORTE,15. ARICA Y PARINACOTA,78360,
11190356,33959,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,CANTANDO Y BAILANDO AL INKA: REPRESENTACIONES MUSICO-COREOGRAFICAS DE MEMORIA EN LOS ANDES,HUMANIDADES,ARTES Y ARQUITECTURA,ARTES Y ARQUITECTURA,36,PERSONA NATURAL,PAULA ALEJANDRA MARTINEZ SAGREDO,MUJER,UNIV.DE TARAPACA,NORTE,15. ARICA Y PARINACOTA,76321,
11190698,34071,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,CONCURSO DE PROYECTOS FONDECYT DE INICIACION EN INVESTIGACION 2019,2019,2019,DESIGN AND SYNTHESIS OF ENANTIOPURE HYDROISOQUINOLINES VIA ORGANOCATALYSIS,CIENCIAS NATURALES,QUIMICA 2,QUIMICA 2,36,PERSONA NATURAL,CLAUDIO ANDRES PARRA MONTES,HOMBRE,UNIV.DE TARAPACA,NORTE,15. ARICA Y PARINACOTA,79320,
